"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"113","#MadeInStatenIsland is a joke!  They can't be serious with this show. Ugh! 🛑 It! 🤦🏽‍♀️ @Fox",FALSE,0,NA,2019-01-16 23:51:27,FALSE,NA,"1085685995331354626",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","melexy218",0,FALSE,FALSE,NA,NA
"114","@CarmellaWWE Now thats #MadeInStatenIsland 😏",FALSE,0,"CarmellaWWE",2019-01-16 23:49:00,FALSE,"1085549644879462400","1085685381826252800","42663408","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nickiswrestling",0,FALSE,FALSE,NA,NA
"115","Kayla ? I would slap the shit outta her please stop  #MadeInStatenIsland",FALSE,0,NA,2019-01-16 23:48:23,FALSE,NA,"1085685226586677248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thepheshow",0,FALSE,FALSE,NA,NA
"116","Am I trippin or is this #MadeInStatenIsland reusing their scenes from #Promposal ????",FALSE,1,NA,2019-01-16 23:48:17,FALSE,NA,"1085685200749768705",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NATorious_xo",1,FALSE,FALSE,NA,NA
"117","What is she talking about ? Lmfaooo son they’re crazy  #MadeInStatenIsland",FALSE,0,NA,2019-01-16 23:48:09,FALSE,NA,"1085685165207310341",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thepheshow",0,FALSE,FALSE,NA,NA
"118","How is she ghetto fabulous ? Deni ? Wtf #MadeInStatenIsland",FALSE,0,NA,2019-01-16 23:47:46,FALSE,NA,"1085685070244052992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thepheshow",0,FALSE,FALSE,NA,NA
"119","I wanna know why they’re like basically jet skiing and the water in New York is fucking filthy #MadeInStatenIsland",FALSE,0,NA,2019-01-16 23:47:26,FALSE,NA,"1085684985850400770",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thepheshow",0,FALSE,FALSE,NA,NA
"120","Honestly I don’t know why Staten Island residents hate any show from their borough being on tv let the world see y’… https://t.co/vbcHN9iF6f",FALSE,0,NA,2019-01-16 23:46:01,TRUE,NA,"1085684629011660801",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thepheshow",0,FALSE,FALSE,NA,NA
"121","Imagine a black person assaulting a cop we wouldn’t be alive to tell the sorry  #MadeInStatenIsland",FALSE,0,NA,2019-01-16 23:45:12,FALSE,NA,"1085684422576349184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thepheshow",0,FALSE,FALSE,NA,NA
"122","Paulie is cute for a Italian kid  #MadeInStatenIsland",FALSE,0,NA,2019-01-16 23:43:44,FALSE,NA,"1085684053653753857",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thepheshow",0,FALSE,FALSE,NA,NA
"123","Sammy the bull really out here talking to Karina as if she’s  a whole as boy selling drugs 🤣 #MadeInStatenIsland",FALSE,0,NA,2019-01-16 23:43:00,FALSE,NA,"1085683870845095937",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thepheshow",0,FALSE,FALSE,NA,NA
"124","Funny thing is I literally have never seen Staten Island on the news like ever. #MadeInStatenIsland",FALSE,0,NA,2019-01-16 23:41:49,FALSE,NA,"1085683571925360643",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thepheshow",0,FALSE,FALSE,NA,NA
"125","@BQQuinn thoughts on the new ‘Jersey Shore esc’ Show #MadeinStatenIsland",FALSE,0,"BQQuinn",2019-01-16 23:13:14,FALSE,NA,"1085676379784515584","454237315","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","EmileighJane_",0,FALSE,FALSE,NA,NA
"126","@karinaseabrook @statenislandmtv Watched you grow up in mobwives (well whenever you filmed on mobwives haha) now yo… https://t.co/QW1rD6ATf1",FALSE,1,"karinaseabrook",2019-01-16 23:05:30,TRUE,"1085671782064013317","1085674431815372800","1025480671094091776","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","missblack84",1,FALSE,FALSE,NA,NA
"127","Whoops, that's not water. 😅 #MadeInStatenIsland https://t.co/JBVmNclHvH",FALSE,51,NA,2019-01-16 23:00:00,FALSE,NA,"1085673049104568320",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","statenislandmtv",12,FALSE,FALSE,NA,NA
