"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"54","“If it stays this cold will just have a big party at play...” my sister officially belongs on made in Staten Island",FALSE,0,NA,2019-01-21 23:26:54,FALSE,NA,"1087491759507156992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TonymarieRose",0,FALSE,FALSE,NA,NA
"55","‘Made in Staten Island’: Twins Taylor and Joe O’Toole Brought Into the Mix
https://t.co/eVqMO9JgTT

         ... https://t.co/QgR3KTpfMU",FALSE,0,NA,2019-01-21 23:04:05,FALSE,NA,"1087486016183721984",NA,"<a href=""https://dvdclip.com"" rel=""nofollow"">dvdclip</a>","Latestupdate4u",0,FALSE,FALSE,NA,NA
"56","@NYorNothing @ItsMeAshleyWee Wait, you have to work later? Surely not during an all new episode of Made in Staten I… https://t.co/DTjOenn7lI",FALSE,2,"NYorNothing",2019-01-21 22:41:47,TRUE,"1087464187733913600","1087480402640547849","825906379743432705","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","michaeljsherman",0,FALSE,FALSE,NA,NA
"57","I’m glad i’m not the only one boycotting MTV’s ""Made in Staten Island"". If you’re going to make a show about Staten… https://t.co/SKNAkm1P9b",FALSE,0,NA,2019-01-21 21:40:53,TRUE,NA,"1087465080495718401",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chambdol",0,FALSE,FALSE,NA,NA
"58","@RockinBrand84 so have you watched Made In Staten island? Tell me what it's about",FALSE,0,"RockinBrand84",2019-01-21 21:33:20,FALSE,NA,"1087463176789094400","2989073896","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","newyorkboo28",0,FALSE,FALSE,NA,NA
"59","I saw Made in Staten Island. Who are these wannabe's. Can anyone explain this show to me?",FALSE,0,NA,2019-01-21 21:25:09,FALSE,NA,"1087461117285134336",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GilSutton1",0,FALSE,FALSE,NA,NA
"60","I got another reality tv recommendation for ya'll... If you love Mob Wives as much as I do, well guess what???? Mob… https://t.co/QzOK4loeQE",FALSE,6,NA,2019-01-21 20:55:06,TRUE,NA,"1087453556221923334",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ItsSavvyyy6",1,FALSE,FALSE,NA,NA
"61","Scrolling through houses on realtor and WHAT THE FUCK IS WITH THE WOOD WALL PANELING?! Jesus Christ.  Ya know what’… https://t.co/1oEU79VcpV",FALSE,1,NA,2019-01-21 20:33:11,TRUE,NA,"1087448040850501632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","x0kaitie7",0,FALSE,FALSE,NA,NA
"62","SIGN PETITION TODAY! https://t.co/qZPqLAkTDO TELL @MTV to STOP shows like @statenislandmtv perpetuating… https://t.co/0t7QG7azy5",FALSE,2,NA,2019-01-21 20:30:32,TRUE,NA,"1087447374107213826",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","IAOVC",1,FALSE,FALSE,NA,NA
"63","Read this comment, and sign the petition. They are a poor example of S.I., and some aren't even from S.I.! A small… https://t.co/43Os9844Kk",FALSE,0,NA,2019-01-21 20:22:28,TRUE,NA,"1087445343833337861",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","harryfc",0,FALSE,FALSE,NA,NA
